sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
DV]3=H6;:%T%.^/<UL\)P),VILA TRINDADE,37,49075560,SIQUEIRA CAMPOS,ARACAJU,SE,"-10,9091511","-37,0744542"
A5;+!IS4C4(Z$JW>/G%QQ-,PRACA DA PAZ,51,83860000,CENTRO,PIEN,PR,"-26,0969638","-49,4340443"
"KS,30OT29-HL>(/B&*>2&+",RUA CARLOS JENSEN,131,89030010,ITOUPAVA SECA,BLUMENAU,SC,"-26,9002936","-49,0778401"
"L(FS'3B:`[P&3Y2&K""?IO*",RUA SAO PAULO,509,35500006,CENTRO,DIVINOPOLIS,MG,"-20,1434972","-44,8904678"
"MPJ()N\H`9;?[N('UZJ""E&",RUA RENERIO VIEIRA DA COSTA,323,15145970,CENTRO,MIRASSOLANDIA,SP,"-20,6183299","-49,4621863"
"G]?+X'/8E0[,&(.8L0$O((",RUA 15 DE NOVEMBRO,395,79240000,VIL CORONEL CAMISAO,JARDIM,MS,"-21,482069","-56,1530024"
"NUCD;2MAVUUU,6]3G.49\#",RUA ATAHIDE BARBOSA DO AMARAL,30,12072160,RESIDENCIAL SITIO SANTO ANTONIO,TAUBATE,SP,"-23,0062441","-45,5187103"
"OW$F8#I1YQ(5]+""9?J%0'-",RUA BOTUVERA,185,89066360,ITOUPAVAZINHA,BLUMENAU,SC,"-26,8559617","-49,1057902"
F2:&@XJ#OCSB&(MP:RDHU%,QUADRA 206 SUL AVENIDA LO 5,0,77020504,CENTRO,PALMAS,TO,"-10,1975457","-48,3219431"
"P_LJCDP'>:PT@36`ZC@,U0",RUA ALFREDO BUDANT,SN,83206370,PADRE JACKSON,PARANAGUA,PR,"-25,5334937","-48,5221392"
"B>FJ>8:>:M5,[<(ELG;3^-",RUA TRES,58,60333380,BARRA DO CEARA,FORTALEZA,CE,"-3,8152733","-38,5831666"
ABL5_$3?\9IY0<Y#R.:3%(,RUA BRUNO CHAVES,103,35012440,CENTRO,GOVERNADOR VALADARES,MG,"-18,8562454","-41,9534152"
"D`6'B6F%1#D_8P1]RM&\=0",RUA ARANDU,205,04562030,BROOKLIN PAULISTA,SAO PAULO,SP,"-23,6097233","-46,6931966"
"L@&R>*B""PD\^""S1;O.=`%#",RUA FARIZA ZAGUIR,764,79645180,VILA NOVA,TRES LAGOAS,MS,"-20,7659447","-51,6973296"
BU\2]4MR3L/CT+.II^5Z+/,RUA REPUBLICA,2657,92310530,HARMONIA,CANOAS,RS,"-29,9095675","-51,1998515"
OE<#:=J&NX/3$!A<=IU^N+,AVENIDA NACOES UNIDAS,50,17033260,JARDIM CAROLINA,BAURU,SP,"-22,30965","-49,073238"
H`[;*L+NZ\BPVKH9<5*^/!,RUA MERCURIO,126,09990030,VILA MARTA,DIADEMA,SP,"-23,6951119","-46,6051169"
"CI3(TX+^""=Y)IY_/D9Q7J*",PRACA TIRADENTES,12,36520000,CENTRO,VISCONDE DO RIO BRANCO,MG,"-21,0098854","-42,8393607"
CY.#5+3RJ6!&IA/[$0R*4$,RUA ORDENACOES FILIPINAS,166,05623020,VILA MORSE,SAO PAULO,SP,"-23,6007574","-46,7272137"
"CLS43[3,2,Y['#>*T0HV#!",RUA SAO PAULO,SN,76999000,CENTRO,PIMENTEIRAS DO OESTE,RO,"-13,4667842","-61,0411855"
GXW2R)[;#Z&1`4)N1$-#](,RUA CEMBIRA,135,08030050,VILA CURUCA,SAO PAULO,SP,"-23,4975407","-46,4269129"
"O:*?:]""*7QS\<KE1$"";@W(",RUA DUQUE DE CAXIAS,471,68701190,DOM JOAO VI,CAPANEMA,PA,"-1,1932911","-47,1827657"
"O'^:7699J+`:W'^2N;S]S)",AVENIDA DAS NACOES UNIDAS,8501,05425070,PINHEIROS,SAO PAULO,SP,"-23,5725993","-46,6980444"
"P.^1:,.]7T0671RO*!-U9&",RUA LEONCIO R DA SILVA,224,46430000,SANTA CATARINA,GUANAMBI,BA,"-14,2193381","-42,7796907"
L-QHP4F5/2L;Q2B5=;68?-,RUA TAMOATA,14,69088752,JORGE TEIXEIRA,MANAUS,AM,"-3,0395178","-59,9327837"
"B\4<A]@W7:ATO`!;<'M=%$",RUA ANDRE DE ALMEIDA,1867,03950000,SAO MATEUS,SAO PAULO,SP,"-23,5950038","-46,4774214"
"LND>[9FPO9^0UP$26AJ""50",AVENIDA C 182,405,74275020,NOVA SUICA,GOIANIA,GO,"-16,7132366","-49,2781948"
L^M6+ONCK5PLUCJ:.G/($/,RUA COLOMBIA,53,49082125,NOVO PARAISO,ARACAJU,SE,"-10,9100222","-37,0796422"
"F@6`A-87A1CM]D?""9QM+/*",AVENIDA ROTARY,493,09980600,SERRARIA,DIADEMA,SP,"-23,703467","-46,612089"
GW`Y8*`ZG#LP0P$(V5DC=*,RUA CONEGO JOSE MARIA FERNANDES,275,03960040,CIDADE SAO MATEUS,SAO PAULO,SP,"-23,5965335","-46,480634"
J<`5Y4FE&@KY$R7+J5<F<&,AVENIDA IRMAOS PEREIRA,1970,87300010,CENTRO,CAMPO MOURAO,PR,"-24,0404002","-52,3708544"
"DR1)3'""#CUMJK1YK.V@9\)",RUA CONEGO OSCAR CAVALCANTE,337,58475000,CASTANHO,QUEIMADAS,PB,"-7,3614001","-35,8963073"
C!^BL^^NCLW#5W7Y^$BV+!,RUA SUICA,35,06502315,JARDIM SAO LUIS,SANTANA DE PARNAIBA,SP,"-23,4481518","-46,9275695"
"HR-Y+8V,0$+A/X'M,+>R-)",RUA DOS CAICOS,1493,59031700,ALECRIM,NATAL,RN,"-5,8005794","-35,2183148"
M(\;R%6@FY!M$?HRN[O7M0,AVENIDA INTERLAGOS,6731,04777001,INTERLAGOS,SAO PAULO,SP,"-23,7049464","-46,7021365"
KWEP(EK@:>2)?H%B@5(-Z),RUA SAO JOSE DO AVENA,450,48290000,SAO JOSE DO AVENA,ITANAGRA,BA,"-12,2618793","-38,0439421"
"FVC_NQ65>$T$18M*J>WZ=,",RUA MARECHAL CARDOSO JUNIOR,393,81530420,JARDIM DAS AMERICAS,CURITIBA,PR,"-25,4646703","-49,2317522"
