chave_fato,quantidade_empresa,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,faixa_veiculos
20014007000170,20014007000170,,,,0 a 5
89069686000180,89069686000180,,,,0 a 5
40878407000130,40878407000130,,,,0 a 5
16008500000100,16008500000100,,,,0 a 5
56166754000170,56166754000170,,,,0 a 5
48138853000110,48138853000110,,,,0 a 5
60074143000170,60074143000170,,,,0 a 5
94598794000180,94598794000180,,,,0 a 5
45504818000180,45504818000180,,,,0 a 5
66334814000170,66334814000170,,,,0 a 5
47846647000100,47846647000100,,,,0 a 5
53681342000180,53681342000180,,,,0 a 5
66051145000120,66051145000120,,,,0 a 5
21624861000110,21624861000110,,,,0 a 5
96653605000150,96653605000150,,,,0 a 5
11065608000110,11065608000110,,,,0 a 5
1640616000190,1640616000190,,,,0 a 5
4282635000180,4282635000180,,,,0 a 5
1158654000100,1158654000100,,,,0 a 5
9177354000180,9177354000180,,,,0 a 5
5815409000180,5815409000180,,,,0 a 5
15571546000170,15571546000170,,,,0 a 5
13417990000100,13417990000100,,,,0 a 5
12605845000190,12605845000190,,,,0 a 5
10825512000140,10825512000140,,2.0,0.0,0 a 5
11084648000100,11084648000100,,,,0 a 5
11368135000120,11368135000120,,,,0 a 5
11497170000140,11497170000140,,,,0 a 5
11164096000140,11164096000140,,,,0 a 5
15703970000120,15703970000120,,,,0 a 5
16626528000100,16626528000100,,,,0 a 5
15236611000100,15236611000100,,,,0 a 5
8440012000220,8440012000220,,,,0 a 5
7349767000250,7349767000250,,1.0,0.0,0 a 5
8760447000170,8760447000170,,,,0 a 5
15232764000180,15232764000180,,,,0 a 5
15601291000140,15601291000140,,,,0 a 5
2394647000170,2394647000170,,,,0 a 5
9462500000110,9462500000110,,,,0 a 5
11606067000190,11606067000190,,,,0 a 5
1163650000110,1163650000110,,,,0 a 5
13444313000180,13444313000180,,,,0 a 5
58419607000190,58419607000190,,,,0 a 5
10642198000160,10642198000160,,,,0 a 5
4965450000170,4965450000170,,,,0 a 5
10370610000130,10370610000130,,1.0,0.0,0 a 5
1440372000100,1440372000100,,,,0 a 5
1417681000150,1417681000150,,,,0 a 5
42834143000220,42834143000220,,,,0 a 5
5248796000110,5248796000110,,,,0 a 5
22691349000150,22691349000150,,,,0 a 5
7720137000160,7720137000160,,,,0 a 5
3480501000100,3480501000100,,,,0 a 5
97531897000200,97531897000200,,,,0 a 5
74110800000100,74110800000100,,,,0 a 5
5453491000140,5453491000140,,,,0 a 5
14260170000110,14260170000110,,,,0 a 5
14307232000100,14307232000100,,,,0 a 5
13117417000180,13117417000180,,,,0 a 5
61139556000310,61139556000310,,1.0,0.0,0 a 5
16921081000100,16921081000100,,,,0 a 5
2344249000140,2344249000140,,,,0 a 5
9641413000200,9641413000200,,,,0 a 5
9521081000140,9521081000140,,,,0 a 5
14564189000150,14564189000150,,,,0 a 5
8493131000160,8493131000160,,,,0 a 5
9479653000170,9479653000170,,,,0 a 5
8161385000180,8161385000180,,,,0 a 5
8345350000100,8345350000100,,,,0 a 5
7337149000100,7337149000100,,,,0 a 5
8628655000110,8628655000110,,,,0 a 5
7088567000100,7088567000100,,,,0 a 5
14372027000110,14372027000110,,,,0 a 5
14366979000120,14366979000120,,,,0 a 5
16722700000120,16722700000120,,,,0 a 5
96256805000170,96256805000170,,,,0 a 5
95628665000150,95628665000150,,,,0 a 5
85286839000190,85286839000190,,,,0 a 5
92046366000110,92046366000110,,,,0 a 5
84489996000300,84489996000300,,,,0 a 5
29836152000100,29836152000100,,,,0 a 5
61661864000220,61661864000220,,,,0 a 5
60882628002990,60882628002990,,,,0 a 5
24293045000160,24293045000160,,,,0 a 5
21189253001440,21189253001440,,,,0 a 5
59770578000170,59770578000170,,,,0 a 5
26815381000150,26815381000150,,,,0 a 5
52903580000120,52903580000120,,,,0 a 5
32185134000110,32185134000110,,,,0 a 5
56150931000120,56150931000120,,,,0 a 5
54147897000100,54147897000100,,,,0 a 5
77915858000100,77915858000100,,,,0 a 5
75395939000100,75395939000100,,,,0 a 5
67944397000140,67944397000140,,,,0 a 5
67155002000120,67155002000120,,,,0 a 5
80119670000160,80119670000160,,,,0 a 5
35989037000250,35989037000250,,,,0 a 5
38058764000100,38058764000100,,,,0 a 5
39937842000100,39937842000100,,,,0 a 5
33490368001610,33490368001610,,,,0 a 5
33372251014700,33372251014700,,,,0 a 5
91195123000180,91195123000180,,,,0 a 5
98038771004240,98038771004240,,,,0 a 5
85181717000130,85181717000130,,,,0 a 5
96040019000130,96040019000130,,,,0 a 5
94131455000190,94131455000190,,,,0 a 5
89128961000190,89128961000190,,,,0 a 5
96633623000170,96633623000170,,,,0 a 5
86423290000100,86423290000100,,,,0 a 5
25459124000160,25459124000160,,,,0 a 5
47011721000160,47011721000160,,,,0 a 5
