cd_cnpj;cod_ordem;cod_ramo;desc_ramo;chave_cnae
12783179000180;0;8599603;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;85
04355056000110;0;1521100;COMERCIO ATACADISTA DE BOLSAS, MALAS E ARTIGOS DE VIAGEM;15
55492623000110;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
11117576000150;0;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;10
11694319000180;0;4752100;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;47
09568108000150;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
00245285000120;0;6204000;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;62
00739428000150;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
05953866000130;0;5611201;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
16962677000140;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
12563448000100;0;8211300;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;82
16932888000130;0;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;86
97526837000100;0;9312300;CLUBES SOCIAIS, ESPORTIVOS E SIMILARES;93
02484960000280;0;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
06084773000180;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
16618671000150;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
03477630000140;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
